GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
Tue May 07 18:29:19 GMT+05:30 2019,07-May-2019 18:29:19.497,77.62802656284134,13.067629656815296,0.0,6.0,821.8464757968027,0.0,-4.08702707,-2.90904379,7.61858225,0.02069954,0.0250714,-0.43394703,-0.32875514,0.76813817,27,-,0,157.96069336,-,979.25,-,49.98756409,0.04776189,6,821.84649658,0,13.06762981,77.62802887,-,35,0,9.24552536,-,10.81581879,0,26.11730194,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:20 GMT+05:30 2019,07-May-2019 18:29:20.494,77.62802659455944,13.067630302751994,0.0,6.0,821.8330247377886,0.0,-4.31208897,-2.82763863,8.32489395,0.03782307,-0.02456574,-0.44151303,-0.29629454,0.71737266,27,-,0,157.94622803,-,978.25,-,49.98693085,0.04811137,6,821.83300781,0,13.06763077,77.62802887,-,35,0,9.24458408,-,10.81691933,0,26.1146431,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:21 GMT+05:30 2019,07-May-2019 18:29:21.494,77.62802627268404,13.067631345220711,0.0,6.0,821.8335729475976,0.0,-4.32406044,-3.32804203,8.33925915,0.03487879,0.05616288,-0.46079418,-0.31704006,0.7954734,27,-,0,157.91517639,-,979.25,-,49.98611832,0.04855913,6,821.83355713,0,13.06763172,77.62802887,-,35,0,9.24385738,-,10.81777,0,26.11259079,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:22 GMT+05:30 2019,07-May-2019 18:29:22.493,77.62802616840094,13.067631820122442,0.0,6.0,821.8470030069543,0.0,-3.70633745,-3.06706595,8.64333248,0.03584931,0.02625924,-0.39953393,-0.31850442,0.78961587,27,-,0,157.9140625,-,968.5,-,49.98576736,0.04875211,6,821.84698486,0,13.06763172,77.62802887,-,35,0,9.24285889,-,10.81893826,0,26.10976982,0,0,-,-,-,6.44746113,0
Tue May 07 18:29:23 GMT+05:30 2019,07-May-2019 18:29:23.493,77.62802612696116,13.067632216768995,0.0,6.0,821.8429082463937,0.0,-3.66802907,-3.09100866,8.6936121,0.00958088,-0.0027632,-0.36756146,-0.30093178,0.77643639,27,0.62137121,0.00238073,157.87927246,-,953,-,49.98474121,0.04931586,6,821.84289551,0,13.06763268,77.62802887,-,35,0.6494801,9.24201012,153.96609497,10.81993103,1.83468962,26.10737419,0,0.62137121,-,-,-,6.44746113,0
Tue May 07 18:29:24 GMT+05:30 2019,07-May-2019 18:29:24.497,77.62802612407329,13.067632615269506,0.0,6.0,821.8561542719654,0.0,-4.59940195,-3.77577138,7.74547911,0.0092923,-0.07030302,-0.44102493,-0.36682925,0.63121784,27,1.03561866,0.01181314,157.8777771,-,1029.25,-,49.98426819,0.04957582,6,821.85614014,0,13.06763268,77.62802887,0.52032602,35,1.15829945,9.2407093,86.33166504,10.821455,3.2720325,26.10369873,0,1.24274242,3.87767076,209.3004303,591.24414062,6.44779301,1
Tue May 07 18:29:25 GMT+05:30 2019,07-May-2019 18:29:25.494,77.62802591522761,13.067633380256723,0.0,6.0,821.865323736104,0.0,-3.9888618,-3.27297378,8.22912216,0.00910926,-0.04832624,-0.40563554,-0.33656523,0.69198996,27,1.03561866,0.01176839,157.84144592,-,973.5,-,49.98343658,0.0500327,6,821.86529541,0,13.06763363,77.62802887,0.52032602,35,0,9.24003696,-,10.82224274,0,26.10179901,0,0,3.87767076,208.12103271,587.91253662,6.44779301,2
Tue May 07 18:29:26 GMT+05:30 2019,07-May-2019 18:29:26.494,77.6280259773334,13.067633893248392,0.0,6.0,821.868994044112,0.0,-3.66084623,-3.4262073,7.54435968,0.02597276,0.02499498,-0.42589289,-0.3221654,0.77448386,27,1.03561866,0.01167991,157.84043884,-,975.25,-,49.98311996,0.05020824,6,821.86901855,0,13.06763363,77.62802887,0.52032602,35,0,9.23909473,-,10.82334614,0,26.09913826,0,0,3.87767076,206.67002869,583.81365967,6.44779301,3
Tue May 07 18:29:27 GMT+05:30 2019,07-May-2019 18:29:27.494,77.62802609361178,13.067633900288653,0.0,6.0,821.8911639744541,0.0,-4.59940195,-3.69676042,8.40151024,0.02384552,-0.04242219,-0.38928321,-0.33607709,0.70736605,27,1.03561866,0.01163616,157.80827332,-,978,-,49.9822464,0.05068843,6,821.89117432,0,13.06763363,77.62802887,-,35,0,9.23831463,-,10.82425976,0,26.09693527,0,0,-,205.48320007,580.46099854,6.44779301,4
Tue May 07 18:29:28 GMT+05:30 2019,07-May-2019 18:29:28.493,77.6280260433829,13.06763395840196,0.0,6.0,821.9014309698599,0.0,-4.09421015,-2.66003942,8.67445755,0.03982644,0.07301873,-0.47494993,-0.35828698,0.79254466,27,1.03561866,0.01154965,157.80711365,-,978,-,49.981884,0.05088779,6,821.90142822,0,13.06763363,77.62802887,-,35,0,9.23726749,-,10.82548714,0,26.09397697,0,0,-,203.91021729,576.01757812,6.44779301,5
Tue May 07 18:29:29 GMT+05:30 2019,07-May-2019 18:29:29.498,77.62802566215692,13.067634051461754,0.0,6.0,821.8893061475682,0.0,-3.99604464,-3.41663027,8.1405344,0.00501112,0.00250322,-0.40270674,-0.33095172,0.75593489,27,1.03561866,0.01146441,157.77323914,-,980.75,-,49.98102951,0.051357,6,821.88928223,0,13.06763363,77.62802887,-,35,0,9.23648834,-,10.8263998,0,26.09177589,0,0,-,202.75576782,572.75640869,6.44779301,6
