GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(Â°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(Â°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(Â°),GPS Latitude(Â°),GPS Longitude(Â°),Horsepower (At the wheels)(hp),Intake Air Temperature(Â°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
-,13-May-2019 16:43:58,-,-,-,-,-,-,5.88512754,-2.55708551,8.60502338,-0.02414898,-0.49857962,0.13716437,0.21355662,0.33223858,30,-,0,145.3076325,-,980.25,-,48.23415375,0.00759096,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:43:59,-,-,-,-,-,-,-1.11333776,-4.93699455,8.77262306,0.01807661,-0.04899586,-0.12544926,-0.48275998,0.70931858,30,-,0,145.3061218,-,979,-,48.23365402,0.00786591,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:44:00,-,-,-,-,-,-,-1.18037748,-4.88671494,8.65290928,0.01679993,-0.04282837,-0.12178829,-0.48642093,0.71493202,30,-,0,145.3037109,-,980.25,-,48.23285294,0.00830602,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:44:01,-,-,-,-,-,-,-1.08221221,-4.58024788,7.85082722,0.0075395,-0.0666096,-0.11031725,-0.46689579,0.70028818,30,-,0,145.3027802,-,980,-,48.23254013,0.00847853,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:44:02,-,-,-,-,-,-,-1.20432019,-4.80530977,8.46854973,0.01911229,0.03480258,-0.13277119,-0.51766127,0.78571087,30,-,0,145.300293,-,978.5,-,48.23171616,0.00893018,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:44:03,-,-,-,-,-,-,-1.30248547,-5.09022808,8.59305191,0.02124946,0.02706953,-0.13277119,-0.51888156,0.77594817,30,-,0,145.2987976,-,980.5,-,48.23122025,0.00920313,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:44:04,-,-,-,-,-,-,-1.15882897,-4.87234926,8.57150364,0.02275115,-0.04739958,-0.10079873,-0.48715314,0.71200323,30,-,0,145.2961884,-,978.25,-,48.23035812,0.00967841,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:44:05,-,-,-,-,-,-,-1.03911531,-4.7957325,8.18123722,0.01749733,0.02688303,-0.13789657,-0.51717311,0.77594817,30,-,0,145.2951355,-,978.75,-,48.23000336,0.00987336,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:44:06,-,-,-,-,-,-,-1.1013664,-4.80530977,8.5236187,0.02273375,0.03744372,-0.13008648,-0.51692903,0.78961587,30,-,0,145.2926331,-,980,-,48.22917557,0.01032753,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:44:07,-,-,-,-,-,-,-1.2665714,-4.77418375,8.07349491,0.01660889,0.0121843,-0.12886617,-0.50521392,0.76716191,30,-,0,145.2911682,-,977,-,48.22868729,0.01059702,-,-,-,-,-,-,36,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:44:08,-,-,-,-,-,-,-1.13249195,-4.85319519,8.41587639,0.01425877,-0.01062909,-0.1078766,-0.49471915,0.74958926,30,-,0,145.289505,-,979,-,48.22813797,0.01089906,-,-,-,-,-,-,37,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:44:09,-,-,-,-,-,-,-1.15404046,-4.89389753,8.72952557,0.02338166,0.01114666,-0.11568667,-0.48349217,0.78009731,30,-,0,145.2874756,-,977.75,-,48.22745895,0.0112718,-,-,-,-,-,-,37,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:44:10,-,-,-,-,-,-,-1.30487978,-4.99445724,9.06233025,0.08214337,0.06218667,-0.13496777,-0.52156627,0.81499857,30,-,0,145.2849884,-,978.25,-,48.22663879,0.01172451,-,-,-,-,-,-,37,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:44:11,-,-,-,-,-,-,-1.46050763,-4.02238178,8.78698826,0.01821574,0.01374592,-0.13155088,-0.42272007,0.81158167,30,-,0,145.2833252,-,966,-,48.22608185,0.0120302,-,-,-,-,-,-,37,0,10.58622837,-,9.44615269,0,24.90056992,-,0,-,-,-,-,0
-,13-May-2019 16:44:12,-,-,-,-,-,-,-1.49881601,-3.85957098,8.55474377,0.02124392,-0.00492542,-0.15400483,-0.42882168,0.78424639,30,1.55342793,0.07225247,145.2810211,-,958,-,48.22531891,0.01244983,-,-,-,-,-,1.89455497,37,0.57788438,10.58622837,173.0413818,9.44615269,1.63244188,24.90056992,-,2.48548484,14.08211327,-,-,0.0003465,0
-,13-May-2019 16:44:13,-,-,-,-,-,-,-1.47247899,-4.77418375,8.55235004,0.00858733,-0.0416001,-0.13496777,-0.48617688,0.71444392,30,2.64082766,0.23474023,145.2778626,-,992,-,48.22427368,0.01302474,-,-,-,-,-,2.01602316,37,3.20646954,8.78901291,31.18630028,11.37760544,9.05782318,24.82772064,-,3.72822714,14.47138023,0.09890199,0.27938414,0.00137522,1
