GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
Wed Apr 24 16:25:17 GMT+05:30 2019,24-Apr-2019 16:25:17.329,77.5871902635865,12.92588656452509,0.6613593,4.0,837.8613205076958,76.12533,-0.29928434,7.54675436,5.55471754,-0.02530271,-0.03863857,-0.02294208,0.78198332,0.45817599,39,5.76321745,1.8010056,82.695755,86,799.5,-,44.48677826,0.09037422,4,837.86132812,76.12532806,12.92588615,77.58718872,-,43,0,8.37554741,-,11.93941498,0,19.70067978,1.47941864,0,-,0.90225148,2.548733,6.77235985,85
Wed Apr 24 16:25:18 GMT+05:30 2019,24-Apr-2019 16:25:18.329,77.58720093023653,12.925890915694627,0.9284359,4.0,837.7278876014673,62.5384,0.0670397,7.61139965,6.09103489,0.00843001,-0.0385143,0.01147104,0.73463476,0.51968032,39,5.76321745,1.8010056,82.695755,86,799.5,-,44.48677826,0.09037422,4,837.72790527,62.53839874,12.92589092,77.58720398,-,43,0,8.37554741,-,11.93941498,0,19.70067978,2.07685208,0,-,0.90225148,2.548733,6.77235985,86
Wed Apr 24 16:25:19 GMT+05:30 2019,24-Apr-2019 16:25:19.337,77.58721147853834,12.925897159901258,1.1274511,4.0,837.6788668158551,13.089276,0.17238778,7.49886847,6.22032595,0.0333946,0.01702962,0.04222319,0.77222073,0.55995095,39,5.76321745,1.8010056,82.695755,86,799.5,-,44.48677826,0.09037422,4,837.67889404,13.08927631,12.9258976,77.58721161,-,43,0,8.37554741,-,11.93941498,0,19.70067978,2.52203608,0,-,0.90225148,2.548733,6.77235985,87
Wed Apr 24 16:25:20 GMT+05:30 2019,24-Apr-2019 16:25:20.328,77.5872103110286,12.925905825942262,1.1473105,4.0,837.2063687822574,23.810947,0.07901107,7.86998129,5.56668901,-0.00582179,-0.02505618,-0.00341691,0.79272217,0.46696234,39,5.76321745,1.8010056,82.695755,86,799.5,-,44.48677826,0.09037422,4,837.20635986,23.81094742,12.92590618,77.58721161,-,43,0,8.37554741,-,11.93941498,0,19.70067978,2.56646037,0,-,0.90225148,2.548733,6.77235985,88
Wed Apr 24 16:25:21 GMT+05:30 2019,24-Apr-2019 16:25:21.328,77.58721508725982,12.92591839412457,1.1558347,4.0,837.6082462852304,10.379499,0.15323359,7.90110683,5.74625969,0.01802452,-0.00400577,0.02123363,0.80126441,0.49063659,39,5.76321745,1.8010056,82.695755,86,799.5,-,44.48677826,0.09037422,4,837.60827637,10.37949944,12.92591858,77.58721161,0.05474238,43,0,8.37554741,-,11.93941498,0,19.70067978,2.58552837,0,-,0.90225148,2.548733,6.77235985,89
Wed Apr 24 16:25:22 GMT+05:30 2019,24-Apr-2019 16:25:22.333,77.58721512708122,12.925928816113455,1.1894367,4.0,837.134177186705,9.809185,0.15802214,7.86758709,5.75583649,0.01283693,-0.00221898,0.02782338,0.80346102,0.49039254,39,5.76321745,1.8010056,82.695755,86,799.5,-,44.48677826,0.09037422,4,837.13415527,9.80918503,12.92592907,77.58721161,0.13002095,43,0,8.37554741,-,11.93941498,0,19.70067978,2.66069412,0,-,0.90225148,2.548733,6.77235985,91
Wed Apr 24 16:25:23 GMT+05:30 2019,24-Apr-2019 16:25:23.330,77.58721600801141,12.92593980222143,1.268212,4.0,836.9637537170933,3.8501678,0.37350687,8.3105278,6.00962973,0.03831436,0.03954734,0.0158642,0.86691779,0.47281983,38,5.72873926,1.82076204,82.695755,86,1140,-,44.48677826,0.09037422,4,836.96374512,3.85016775,12.92593956,77.58721924,3.99437666,43,181.2480011,13.18556976,0,7.58389091,512,37.24737167,2.83690906,4.34959841,24.9499855,120.59712219,340.66983032,6.77235985,92
Wed Apr 24 16:25:24 GMT+05:30 2019,24-Apr-2019 16:25:24.331,77.58721624785834,12.92596127862433,1.4009356,3.0,836.887118696422,0.3724443,-0.8092649,8.07349491,6.0239954,0.01053691,-0.02474479,-0.07248722,0.81688452,0.42717978,38,5.725492,1.84977424,409.63952637,86,1217.5,-,49.99705887,0.09331584,3,836.887146,0.3724443,12.92596149,77.58721924,3.61749339,43,0.76742017,13.16214943,130.30400085,7.59738541,2.16785359,37.18121338,3.13380384,5.59234095,21.15752602,116.79550934,329.93081665,6.77410507,93
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
Wed Apr 24 16:25:27 GMT+05:30 2019,24-Apr-2019 16:25:27.209,77.58721848583181,12.926034860022241,1.7611467,3.0,836.4125890578911,0.4329362,0.51476908,7.38154936,7.07508183,0.00862709,0.0525188,0.05149765,0.75098711,0.6351229,38,5.75803947,1.94820893,407.97198486,87,1274.5,-,49.9896698,0.10070551,3,836.41259766,0.43293619,12.92603493,77.58721924,1.95707703,42,0.98109978,13.10848045,101.92430878,7.62849045,2.7714684,37.02960587,3.93957281,6.21371174,10.79881191,108.30448151,305.94485474,6.77838945,96
Wed Apr 24 16:25:28 GMT+05:30 2019,24-Apr-2019 16:25:28.208,77.58721840264717,12.926058337001837,1.8530955,4.0,836.454935259931,0.93067956,0.59617442,7.86279869,5.53795767,0.01060249,-0.01268438,0.09176832,0.78540021,0.49063659,38,5.75443792,1.97540402,406.46966553,87,1242.5,-,49.98451614,0.10585885,4,836.45495605,0.93067956,12.92605877,77.58721924,1.95707703,42,0.9024232,13.07067299,110.81044769,7.65055609,2.54921818,36.92280579,4.14525652,5.59234095,10.79881191,103.07427216,291.17025757,6.78009748,97
