GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
-,25-Apr-2019 16:53:35.110,-,-,-,-,-,-,-0.81405342,5.38232994,7.39352083,0.01427447,0.05942546,0.03783003,0.6409139,0.74226725,38,6.13604069,0.67244285,185.84634399,74,775,39.60784149,46.78004456,0.13324805,-,-,-,-,-,16.79527283,-,2.40868449,6.39344358,41.51557541,15.64069748,6.8041935,18.06057549,-,9.32056808,71.54953003,0.13794495,0.38967502,0.01139931,7
-,25-Apr-2019 16:53:36.108,-,-,-,-,-,-,-0.4668836,6.48369598,7.21873856,0.02112852,0.00277683,0.06955844,0.67557108,0.63731945,38,6.13604069,0.67244285,185.84634399,74,775,39.60784149,46.78004456,0.13324805,-,-,-,-,-,16.79527283,-,2.40868449,6.39344358,41.51557541,15.64069748,6.8041935,18.06057549,-,9.32056808,71.54953003,0.13794495,0.38967502,0.01139931,7
-,25-Apr-2019 16:53:37.110,-,-,-,-,-,-,-0.61772293,6.96973419,7.6449194,0.03774725,0.01774505,-0.05784333,0.68899465,0.64634985,38,6.13604069,0.67244285,185.84634399,74,775,39.60784149,46.78004456,0.13324805,-,-,-,-,-,16.79527283,-,2.40868449,6.39344358,41.51557541,15.64069748,6.8041935,18.06057549,-,9.32056808,71.54953003,0.13794495,0.38967502,0.01139931,16
-,25-Apr-2019 16:53:38.108,-,-,-,-,-,-,-0.21548474,6.73509502,6.72551775,-0.01050752,-0.01076158,-0.02123363,0.71632987,0.58142865,38,5.93754673,0.72213411,185.84634399,74,762.5,39.60784149,46.78004456,0.13324805,-,-,-,-,-,-,-,181.2480011,6.39309406,0,15.64155293,512,18.05958748,-,4.34959841,-,0.13767633,0.38891619,0.01139931,17
-,25-Apr-2019 16:53:39.111,-,-,-,-,-,-,0.36871833,6.06948662,7.76702738,0.0643507,0.04368222,0.1576658,0.73194999,0.6265806,39,5.71661472,0.76221532,185.83222961,75,754,39.60784149,46.77905273,0.13423966,-,-,-,-,-,-,-,2.27068686,6.39175892,44.03862381,15.64482021,6.41436958,18.05581665,-,3.72822714,-,0.13665934,0.38604334,0.01267942,18
-,25-Apr-2019 16:53:40.112,-,-,-,-,-,-,0.8930645,5.21951914,8.33925915,0.00390432,0.01925725,0.07199909,0.54499644,0.75788748,39,5.4793644,0.79306585,185.790802,75,756,39.60784149,46.77839279,0.13490182,-,-,-,-,-,-,-,1.96824396,6.39130116,50.80565262,15.64594078,5.56001139,18.05452347,-,3.10685587,-,0.15125969,0.42728725,0.0135471,19
-,25-Apr-2019 16:53:41.110,-,-,-,-,-,-,0.79011071,5.70555687,7.21634436,0.02052937,0.00624808,0.03660971,0.53108478,0.75349426,39,5.22987461,0.8150453,185.77394104,75,761,39.60784149,46.77749634,0.13579923,-,-,-,-,-,-,-,1.63586414,6.39038754,61.12849808,15.64817715,4.62108517,18.05194283,-,2.48548484,-,0.1605427,0.45351043,0.01428964,20
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
-,25-Apr-2019 16:53:55.404,-,-,-,-,-,-,-0.2083019,4.80770397,7.22113276,0.114331,0.30630136,-0.06077211,0.58355868,1.06662929,39,4.9382658,1.11698878,185.59857178,75,757.5,39.60784149,46.77174759,0.14154795,-,-,-,-,-,1.31791687,-,2.59677339,7.89483738,38.50852966,12.66639519,7.33551788,18.56997108,-,4.97096968,12.34811115,0.23535988,0.6648584,0.00166251,26
-,25-Apr-2019 16:53:56.403,-,-,-,-,-,-,-0.2083019,4.80770397,7.22113276,0.114331,0.30630136,-0.06077211,0.58355868,1.06662929,39,4.9382658,1.11698878,185.59857178,75,757.5,39.60784149,46.77174759,0.14154795,-,-,-,-,-,1.31791687,-,2.59677339,7.89483738,38.50852966,12.66639519,7.33551788,18.56997108,-,4.97096968,12.34811115,0.23535988,0.6648584,0.00166251,35
