GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
Wed Apr 24 08:41:56 GMT+05:30 2019,24-Apr-2019 08:41:56.140,77.62583640509573,13.056046271287162,0.0073936307,6.0,813.8177142303945,196.66446,0.11731946,7.58985138,6.27778864,0.02455248,-0.00343638,0.01952518,0.76953602,0.53237164,-,6.94314766,0.47812095,0,-,907,-,49.96997452,0.21108079,6,813.81768799,196.66445923,13.05604649,77.62583923,-,34,0,0,-,∞,0,0,0.01653908,0,-,0,0,0,205
Wed Apr 24 08:41:57 GMT+05:30 2019,24-Apr-2019 08:41:57.138,77.62583613147494,13.056046178370922,0.0052489974,6.0,813.7703536541097,196.66446,0.48124924,8.20757389,8.25785351,0.04987931,0.03039717,0.10592408,0.82811153,0.50332797,-,6.94314766,0.47669372,0,-,906,-,49.96833801,0.2118172,6,813.77032471,196.66445923,13.05604649,77.62583923,-,34,0,0,-,∞,0,0,0.01174167,0,-,0,0,0,206
Wed Apr 24 08:41:58 GMT+05:30 2019,24-Apr-2019 08:41:58.139,77.62583584376702,13.056046138405243,0.008215849,6.0,813.7034149865116,196.66446,0.18914771,7.57548571,6.31609678,0.02459937,0.023169,-0.02391834,0.78637648,0.55360532,-,6.94314766,0.47386467,0,-,903.75,-,49.96741867,0.21223228,6,813.70343018,196.66445923,13.05604649,77.62583923,-,34,0,0,-,∞,0,0,0.01837833,0,-,0,0,0,207
Wed Apr 24 08:41:59 GMT+05:30 2019,24-Apr-2019 08:41:59.139,77.62583647817779,13.056053353432677,0.03824159,6.0,814.1232387235053,196.66446,-1.12052059,7.67365074,6.53876448,0.02927163,-0.02348922,-0.04832481,0.75049895,0.52236497,-,6.94314766,0.47106901,0,-,903.5,-,49.96636963,0.21270333,6,814.12322998,196.66445923,13.05605316,77.62583923,-,34,0,0,-,∞,0,0,0.08554401,0,-,0,0,0,208
Wed Apr 24 08:42:00 GMT+05:30 2019,24-Apr-2019 08:42:00.138,77.62583642509387,13.056053201261305,0.0091728,6.0,814.1241866197815,196.66446,0.04309694,7.66646814,5.44458103,-0.0034704,-0.01562142,-0.02562679,0.77734607,0.5028398,-,6.94314766,0.46830615,0,-,905.75,-,49.96582794,0.21294755,6,814.12420654,196.66445923,13.05605316,77.62583923,-,34,0,0,-,∞,0,0,0.02051897,0,-,0,0,0,209
Wed Apr 24 08:42:01 GMT+05:30 2019,24-Apr-2019 08:42:01.143,77.62583641046176,13.056053154383383,0.0013075615,6.0,814.1056785558781,196.66446,0.05506832,8.21954536,5.72949982,0.03391491,0.02598099,0.00805414,0.84641635,0.47916552,-,6.94314766,0.46693683,0,-,1103.25,-,49.96401596,0.2137627,6,814.10565186,196.66445923,13.05605316,77.62583923,-,34,0,0,-,∞,0,0,0.00292493,0,-,0,0,0,210
Wed Apr 24 08:42:02 GMT+05:30 2019,24-Apr-2019 08:42:02.138,77.62583651579357,13.056053083431673,0.0043002414,6.0,814.0862046510215,196.66446,-0.50519198,7.79097033,6.40707922,0.02166261,-0.01406583,-0.02831151,0.77978671,0.50210762,-,6.94314766,0.46422207,0,-,1274.25,-,49.96328735,0.21409155,6,814.08618164,196.66445923,13.05605316,77.62583923,-,34,0,0,-,∞,0,0,0.00961937,0,-,0,0,0,211
Wed Apr 24 08:42:03 GMT+05:30 2019,24-Apr-2019 08:42:03.143,77.62583656184542,13.056053034915832,0.036971275,6.0,814.0697746400928,196.66446,0.09098244,7.76942158,6.88114595,0.0134113,-0.03085394,0.00561349,0.79491872,0.45378283,-,6.73152113,0.46692634,0,-,937,-,49.96280289,0.21430814,6,814.06976318,196.66445923,13.05605316,77.62583923,-,34,0,0,-,∞,0,0,0.08270239,1.86411357,-,0,0,0,212
Wed Apr 24 08:42:04 GMT+05:30 2019,24-Apr-2019 08:42:04.147,77.62583666645463,13.056052666324346,0.04941069,6.0,814.0640191267267,196.66446,-0.21309046,8.33447075,4.68320131,0.06971696,0.12326939,-0.01513201,0.94331002,0.50894147,-,6.53682518,0.47095281,0,-,894,-,49.96144867,0.21491739,6,814.06402588,196.66445923,13.05605221,77.62583923,1.39966965,35,1.82115602,0.00194645,54.90903473,51374.48046875,5.14450836,0.00549845,0.11052857,1.86411357,11.14844036,0.00194645,0.00549845,0.00025994,213
Wed Apr 24 08:42:05 GMT+05:30 2019,24-Apr-2019 08:42:05.147,77.62583545528948,13.056052057975728,0.025050927,6.0,814.0112525873066,196.66446,-0.47406641,9.16528416,6.33046246,0.04839758,-0.01008398,-0.06931438,0.89571744,0.31490999,-,6.35179424,0.49139959,0.02719186,-,1164.75,-,49.96022034,0.21547066,6,814.01123047,196.66445923,13.05605221,77.62583923,1.54904163,35,1.64675057,0.00194645,60.72438431,51374.48046875,4.65183783,0.00549845,0.05603733,4.97096968,12.87463951,0.00194645,0.00549845,0.00153574,214
Wed Apr 24 08:42:06 GMT+05:30 2019,24-Apr-2019 08:42:06.156,77.62583239815753,13.05605054008206,0.05760966,6.0,813.9881599549067,196.66446,-0.09098244,6.3567996,6.46454191,-0.22042322,-0.16224554,-0.10470375,0.80394912,0.10989565,-,6.42797804,0.5310865,0.15980208,-,1729.25,-,49.95706558,0.21688996,6,813.98815918,196.66445923,13.0560503,77.6258316,7.714715,35,2.05062962,0.0114397,48.76449966,8741.30957031,5.79273891,0.03231552,0.12886913,8.69919682,39.30919647,0.0114397,0.03231552,0.00362354,215
Wed Apr 24 08:42:07 GMT+05:30 2019,24-Apr-2019 08:42:07.139,77.62582779912634,13.056045937044454,0.2144021,6.0,814.0437972829016,194.34644,-2.6767993,8.18123722,4.75263548,0.02133185,-0.08057772,-0.07834477,0.79809153,0.34907904,-,6.503685,0.55429131,0.37557608,-,1256.25,-,49.95643234,0.21717565,6,814.04382324,194.34643555,13.05604553,77.6258316,7.43960094,35,8.79346275,0.02688657,11.37184811,3719.2512207,24.84029007,0.07595077,0.47960383,8.69919682,42.16962051,0.02688657,0.07595077,0.00493567,216
Wed Apr 24 08:42:08 GMT+05:30 2019,24-Apr-2019 08:42:08.146,77.62582502705375,13.056031454487647,0.6741127,6.0,814.2263016934584,215.6346,2.20991564,2.01837373,7.5874567,0.12873629,0.35834846,-0.27676937,0.5703792,1.10079837,-,6.71857595,0.60732889,0.37556314,-,1081.25,-,49.95471191,0.21795012,6,814.22631836,215.63459778,13.05603123,77.62582397,5.6144042,35,4.38999224,0.04858572,22.77860832,2058.17504883,12.40110874,0.1372478,1.50794697,10.56331062,36.97461319,0.04858572,0.1372478,0.0086954,217
